Agents,X_DIM,Y_DIM,TRIAL_NO,SCORE,DONE_RATIO,STEPS,ACTION_PROB
10,35,35,535,-0.050972222222222474,10.0,84,[0.         0.00306748 0.00306748 0.98773006 0.00613497]
10,35,35,536,-0.04982638888888908,20.0,59,[0.         0.         0.00398406 0.99203187 0.00398406]
10,35,35,537,-0.07067129629629647,0.0,71,[0.06584362 0.0617284  0.07407407 0.7654321  0.03292181]
10,35,35,538,-0.06712962962962858,0.0,145,[0.05778894 0.09296482 0.06281407 0.70351759 0.08291457]
10,35,35,539,-0.11053240740740637,30.0,188,[0.07616708 0.06879607 0.05896806 0.76412776 0.03194103]
10,35,35,540,-0.24253472222222547,20.0,481,[0.03165098 0.03079555 0.02737382 0.87254063 0.03763901]
10,35,35,541,-0.0640856481481477,0.0,113,[0.05246914 0.08333333 0.0462963  0.76851852 0.04938272]
10,35,35,542,-0.07912037037036912,20.0,163,[0.05292479 0.0362117  0.03342618 0.8551532  0.02228412]
10,35,35,543,-0.05491898148148154,0.0,65,[0.01244813 0.02074689 0.01659751 0.93360996 0.01659751]
10,35,35,544,-0.39437500000002035,20.0,562,[0.01282051 0.00560897 0.01121795 0.96153846 0.0088141 ]
10,35,35,545,-0.030833333333333435,0.0,36,[0.01459854 0.02189781 0.01459854 0.94160584 0.00729927]
10,35,35,546,-0.1486342592592587,10.0,272,[0.07963247 0.07810107 0.0719755  0.68300153 0.08728943]
10,35,35,547,-0.2133796296296327,50.0,475,[0.03149606 0.02755906 0.02598425 0.88897638 0.02598425]
10,35,35,548,-0.056076388888888856,0.0,85,[0.0260223  0.03345725 0.02973978 0.88475836 0.0260223 ]
10,35,35,549,-0.13291666666666618,10.0,189,[0.06237006 0.02910603 0.03742204 0.84823285 0.02286902]
10,35,35,550,-0.19753472222221866,40.0,279,[0.05612245 0.05442177 0.05442177 0.76870748 0.06632653]
10,35,35,551,-0.3526851851851866,0.0,586,[0. 0. 0. 1. 0.]
10,35,35,552,-0.17359953703703582,70.0,482,[0.03727866 0.02516309 0.03634669 0.87138863 0.02982293]
10,35,35,553,-0.035474537037037165,20.0,65,[0.0334728  0.0460251  0.0376569  0.84518828 0.0376569 ]
10,35,35,554,-0.054363425925926134,0.0,61,[0.00749064 0.00749064 0.         0.98501873 0.        ]
10,35,35,555,-0.1139814814814802,20.0,183,[0.0505618  0.07303371 0.06928839 0.73782772 0.06928839]
10,35,35,556,-0.09305555555555482,0.0,120,[0.02686567 0.01492537 0.01492537 0.91940299 0.0238806 ]
10,35,35,557,-0.160486111111111,20.0,282,[0.09659715 0.09001098 0.07574094 0.66190999 0.07574094]
10,35,35,558,-0.41092592592593125,20.0,548,[0.00685714 0.00742857 0.008      0.97028571 0.00742857]
10,35,35,559,-0.40032407407407805,20.0,524,[0.00806452 0.01344086 0.01478495 0.9422043  0.02150538]
10,35,35,560,-0.051041666666666784,0.0,63,[0.00483092 0.00966184 0.00966184 0.96618357 0.00966184]
10,35,35,561,-0.04069444444444466,20.0,60,[0.         0.00436681 0.         0.99126638 0.00436681]
10,35,35,562,-0.07204861111111129,0.0,75,[0.01785714 0.04642857 0.02142857 0.89642857 0.01785714]
10,35,35,563,-0.14972222222221984,0.0,196,[0.03289474 0.03453947 0.03453947 0.86842105 0.02960526]
10,35,35,564,-0.04460648148148172,0.0,47,[0.00881057 0.00881057 0.00881057 0.96475771 0.00881057]
10,35,35,565,-0.17111111111110708,30.0,229,[0.02037846 0.02328967 0.02183406 0.91703057 0.01746725]
10,35,35,566,-0.09143518518518384,0.0,158,[0.07191781 0.07534247 0.04452055 0.73630137 0.07191781]
10,35,35,567,-0.07878472222222045,30.0,172,[0.02168675 0.03855422 0.00722892 0.9060241  0.02650602]
10,35,35,568,-0.05059027777777769,0.0,93,[0.03115265 0.02492212 0.02180685 0.90031153 0.02180685]
10,35,35,569,-0.07577546296296149,10.0,151,[0.02512563 0.0201005  0.04271357 0.8718593  0.04020101]
10,35,35,570,-0.09937499999999828,0.0,159,[0.03778338 0.02770781 0.04030227 0.84130982 0.05289673]
10,35,35,571,-0.2135648148148115,40.0,288,[0.01529903 0.01390821 0.01390821 0.94158554 0.01529903]
10,35,35,572,-0.12983796296296138,10.0,176,[0.05844156 0.05194805 0.04545455 0.79220779 0.05194805]
10,35,35,573,-0.09358796296296241,20.0,127,[0.03988604 0.04558405 0.02279202 0.83760684 0.05413105]
10,35,35,574,-0.20474537037036683,10.0,290,[0.02120141 0.01766784 0.01413428 0.94169611 0.00530035]
10,35,35,575,-0.04539351851851872,0.0,74,[0.07582938 0.01895735 0.04739336 0.81042654 0.04739336]
10,35,35,576,-0.14594907407407248,0.0,194,[0.03694581 0.05418719 0.02955665 0.83251232 0.04679803]
10,35,35,577,-0.05347222222222177,0.0,105,[0.01923077 0.04487179 0.04487179 0.84615385 0.04487179]
10,35,35,578,-0.07483796296296197,0.0,122,[0.09124088 0.08029197 0.05109489 0.70437956 0.0729927 ]
10,35,35,579,-0.06069444444444442,20.0,78,[0.03478261 0.03043478 0.02173913 0.88695652 0.02608696]
10,35,35,580,-0.06318287037037014,0.0,103,[0.05949008 0.0509915  0.07932011 0.77053824 0.03966006]
10,35,35,581,-0.1007870370370369,50.0,211,[0.05637255 0.06127451 0.07352941 0.74264706 0.06617647]
10,35,35,582,-0.10532407407407178,10.0,223,[0.05225225 0.04864865 0.06846847 0.77117117 0.05945946]
