Agents,X_DIM,Y_DIM,TRIAL_NO,SCORE,DONE_RATIO,STEPS,ACTION_PROB
10,35,35,600,-0.2009259259259213,0.0,217,[0.03407407 0.03703704 0.0237037  0.87703704 0.02814815]
10,35,35,601,-0.1508333333333302,0.0,128,[0.02947154 0.03556911 0.03252033 0.87601626 0.02642276]
10,35,35,602,-0.17499999999999694,10.0,397,[0.02861098 0.03368713 0.03599446 0.87078911 0.03091832]
10,35,35,603,-0.15411168981481208,15.0,193,[0.03126177 0.03615819 0.03804143 0.86365348 0.03088512]
10,35,35,604,-0.14896296296296052,13.999999999999998,171,[0.03153153 0.03507079 0.03893179 0.86454311 0.02992278]
10,35,35,605,-0.13293209876543008,11.666666666666666,76,[0.03169333 0.03712647 0.038032   0.86266224 0.03048596]
10,35,35,606,-0.13507605820105612,15.714285714285717,224,[0.03227433 0.03983863 0.04034291 0.85678265 0.03076147]
10,35,35,607,-0.12626446759259072,15.0,96,[0.03449862 0.04369825 0.04231831 0.8449862  0.03449862]
10,35,35,608,-0.14082561728394846,21.11111111111111,455,[0.03016859 0.03744454 0.03779947 0.86424135 0.03034605]
10,35,35,609,-0.139042824074072,21.999999999999996,149,[0.03109576 0.03734781 0.03718328 0.86245475 0.03191839]
10,35,35,610,-0.13149936868686682,20.909090909090907,71,[0.03164358 0.03731108 0.03620907 0.86303526 0.03180101]
10,35,35,611,-0.13319926697530682,20.833333333333336,220,[0.03287071 0.03710738 0.03564646 0.86267348 0.03170197]
10,35,35,612,-0.13305911680911528,22.307692307692307,311,[0.03400916 0.03741007 0.03701766 0.85860039 0.03296272]
10,35,35,613,-0.13057622354497206,20.71428571428571,149,[0.03545477 0.03770985 0.03808569 0.85504886 0.03370083]
10,35,35,614,-0.14930169753086378,19.333333333333332,450,[0.03468859 0.03671585 0.03806735 0.8579795  0.03254871]
10,35,35,615,-0.16836877893518587,19.375,570,[0.03023697 0.03146919 0.03298578 0.87744076 0.0278673 ]
10,35,35,616,-0.1611873638344233,19.411764705882355,61,[0.03025522 0.03118329 0.03303944 0.87777262 0.02774942]
10,35,35,617,-0.15649562757201702,20.0,154,[0.03064487 0.03144431 0.03304317 0.87608812 0.02877953]
10,35,35,618,-0.15362999512670616,19.47368421052632,147,[0.03185796 0.03228273 0.03449155 0.87018945 0.03117832]
10,35,35,619,-0.15296759259259302,19.0,231,[0.03333333 0.03461847 0.03630522 0.86313253 0.03261044]
10,35,35,620,-0.1490828924162261,20.476190476190478,188,[0.03227554 0.03351393 0.03513932 0.86726006 0.03181115]
10,35,35,621,-0.1456355218855222,20.0,94,[0.03177726 0.03306348 0.034728   0.86888099 0.03155028]
10,35,35,622,-0.14235205314009694,20.0,113,[0.03214391 0.03280743 0.03457682 0.86936007 0.03111177]
10,35,35,623,-0.1418571566358027,20.416666666666668,232,[0.03388265 0.03423782 0.03565847 0.86340389 0.03281716]
10,35,35,624,-0.1390175925925928,20.8,105,[0.03317667 0.0333149  0.03497374 0.86618745 0.03234725]
10,35,35,625,-0.14426549145299178,20.384615384615383,428,[0.03511181 0.03452334 0.03530796 0.86171047 0.03334641]
10,35,35,626,-0.14603780864197563,20.0,350,[0.03713495 0.03633569 0.03818014 0.85189056 0.03645865]
10,35,35,627,-0.14413442460317488,20.0,150,[0.03789246 0.03662938 0.03813304 0.85041501 0.03693011]
10,35,35,628,-0.1503903256704988,19.310344827586206,586,[0.03447144 0.03332239 0.0346903  0.86391989 0.03359597]
10,35,35,629,-0.15441743827160573,18.999999999999996,413,[0.03684873 0.03396582 0.03616731 0.85747982 0.03553832]
10,35,35,630,-0.15569668458781444,19.677419354838708,357,[0.03675107 0.03399348 0.03574831 0.85765856 0.03584858]
